Paragraph,Section,Category_ID,Agreement_name
THIS TRIAL AGREEMENT this Agreement effective as of June 1 2007 the Effective Date is entered into by and between Teleca USA Inc a California corporation Company having a place of business at 740 E Campbell Road Suite 900 Richardson TX 75081 and Ericsson Inc a Delaware corporation having a place of business at 6300 Legacy Dr Plano TX 75024 Ericsson WHEREAS Ericsson and Company desires to jointly install test and support Company s Push to Talk client application Application for use with Ericsson s network and or Ericsson s customers networks in accordance with the terms and conditions of this Agreement,Summary,0,Teleca USA Inc Trial Agreement 060107
THIS TRIAL AGREEMENT this Agreement effective as of March 17 2008 the Effective Date is entered into by and between Tellabs North America Inc a Delaware corporation having its principal place of business at One Tellabs Center 1415 W Diehl Road Naperville IL 60563 Tellabs and Ericsson Inc a Delaware corporation having a place of business at 6300 Legacy Dr Plano TX 75024 Ericsson WHEREAS Tellabs desires to provide Ericsson with certain equipment in order to conduct interoperability testing of such equipment and Ericsson s equipment in accordance with the terms and conditions of this Agreement,Summary,0,Tellabs N.A. Trial Agmt. 031708 (signed)
THIS TRIAL AGREEMENT this Agreement effective as of September 21 2006 the Effective Date is entered into by and between Telmap Ltd an Israeli corporation Company and Ericsson Inc a Delaware corporation having a place of business at 6300 Legacy Dr Plano TX 75024 Ericsson WHEREAS Ericsson desires to install and test Company s Location Based Products for use with Ericsson s network and or Ericsson s customers networks and Company has agreed to provide such systems and support the testing by Ericsson all in accordance with the terms and conditions of this Agreement,Summary,0,Telmap Trial Agreement executed (scanned)
THIS TRIAL AGREEMENT this Agreement effective as of the date of last signature below the Effective Date is entered into by and between ThinkAnalytics Inc a Delaware corporation Company and ERICSSON INC a Delaware corporation having a place of business at 6300 Legacy Dr Plano Texas 75024 Ericsson WHEREAS Ericsson and Company desire to jointly install test and support Company s Recommendations Engine for use with Ericsson s network and or Ericsson s customers networks in accordance with the terms and conditions of this Agreement,Summary,0,Think Analytics- Trial Agreement effective (8-4-15)
THIS TRIAL AGREEMENT this Agreement effective as of September 28 2018 the Effective Date is entered into by and between Tive Inc a Delaware corporation Company and ERICSSON INC a Delaware corporation having a place of business at 6300 Legacy Dr Plano Texas 75024 Ericsson WHEREAS Ericsson and Company desire to jointly install test and support Company s Supply Chain Visibility Solution for use with Ericsson s network and or Ericsson s customers networks in accordance with the terms and conditions of this Agreement,Summary,0,Tive Inc._Trial Agreement_(19928) (Eff.  09.28.18)
THIS TRIAL AGREEMENT this Agreement effective as of the date of last signature below the Effective Date is entered into by and between TNSS Global L L C a Texas corporation Company and ERICSSON INC a Delaware corporation having a place of business at 6300 Legacy Dr Plano Texas 5024 Ericsson WHEREAS Ericsson and Company desire to jointly install test and support Company s products and services for use with Ericsson s network and or Ericsson s customers networks in accordance with the terms and conditions of this Agreement,Summary,0,TNSS Global LLC - TA - (Eff. 01-10-2017)
THIS TRIAL AGREEMENT this Agreement effective as of the date of last signature below the Effective Date is entered into by and between TRIFACTA INC a Delaware corporation with an office at 575 Market St 11th Floor San Francisco California 94105 Company and ERICSSON INC a Delaware corporation having a place of business at 6300 Legacy Dr Plano Texas 75024 Ericsson WHEREAS Ericsson and Company desire to jointly install test and support Company s Insight Tool for use with Ericsson s network and or Ericsson s customers networks in accordance with the terms and conditions of this Agreement,Summary,0,Trifacta Inc._Trial Agreement (Rev B)_(19427) (Eff. 07.10.18)
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of five 5 months unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,18-5789 ( REv B) Ericsson Trifacta Trial Agreement 6.28.18 FINAL
Term The term of this Amendment One commences on the Amendment One Effective Date and shall continue in effect coterminous with the term of the Agreement,Term,1,Amendment 1 to Trial Agreement 2010
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of two 2 years unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,Radwin Trial Agreement (signed) 9-26-12
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of four 4 months unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,Roambee Corporation_Paid Trial Agreement_(21126) (Eff. 06.14.19)
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of six 6 months unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,Roambee Corporation_Paid Trial Agreement_(22084) (Eff. 01.22.20)
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of two 2 years unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,Tatara Systems Trial Agmt. 110609 (signed)
Term The term of this Amendment One commences on the Amendment One Effective Date and shall continue in effect coterminous with the term of the Agreement,Term,1,"Tektronix Texas LLC - Amendment 1 to Trial Agreement (fully executed), effective 2-10-12"
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of two 2 years unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,"Tektronix Trial Agreement (fully executed), effective 4-29-11"
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of one 1 year unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,Teleca USA Inc Trial Agreement 060107 signed
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of one 1 year unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,Telmap Trial Agr executed (original)
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of one 1 year unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,Teleca USA Inc Trial Agreement 060107
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of two 2 years unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,Tellabs N.A. Trial Agmt. 031708 (signed)
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of one 1 year unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,Telmap Trial Agreement executed (scanned)
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of 12 months unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,Think Analytics- Trial Agreement effective (8-4-15)
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of two 2 years unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,Tive Inc._Trial Agreement_(19928) (Eff.  09.28.18)
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of two 2 years unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement,Term,1,TNSS Global LLC - TA - (Eff. 01-10-2017)
Term The term of this Agreement will commence on the Effective Date and will thereafter continue for a period of five 5 months unless further extended by the parties mutual agreement in writing or earlier terminated in accordance with the provisions of this Agreement ,Term,1,Trifacta Inc._Trial Agreement (Rev B)_(19427) (Eff. 07.10.18)
Delivery Following the execution of this Agreement Company will deliver the products and or software listed in Exhibit A hereto the Test System to a location specified by Ericsson or such other location s as may be mutually agreed in writing by the parties Trial Following the delivery and installation of a Test System in accordance with the specifications to be mutually agreed in writing by the parties,Delivery,2,18-5789 ( REv B) Ericsson Trifacta Trial Agreement 6.28.18 FINAL
Delivery Following the execution of this Agreement Company will deliver the products and or software listed in Exhibit A hereto the Quotation to a location specified by Ericsson or such other location s as may be mutually agreed in writing by the parties,Delivery,2,Roambee Corporation_Paid Trial Agreement_(21126) (Eff. 06.14.19)
Delivery Following the execution of this Agreement Company will deliver the products and or software listed in Exhibit A hereto the Quotation to a location specified by Ericsson or such other location s as may be mutually agreed in writing by the parties,Delivery,2,Roambee Corporation_Paid Trial Agreement_(22084) (Eff. 01.22.20)
Delivery Following the execution of this Agreement Company will deliver the products and or software listed in Exhibit A hereto the Test System to a location specified by Ericsson or such other location s as may be mutually agreed in writing by the parties,Delivery,2,Tatara Systems Trial Agmt. 110609 (signed)
Delivery Following the execution of this Agreement Company will deliver the products and or software listed in Exhibit A hereto the Test System to a location specified by Ericsson or such other location s as may be mutually agreed in writing by the parties,Delivery,2,"Tektronix Trial Agreement (fully executed), effective 4-29-11"
Delivery Following the execution of this Agreement Company will deliver the products and or software listed in Exhibit A the Client Software to a location specified by Ericsson or such other location s as may be mutually agreed in writing by the parties,Delivery,2,Teleca USA Inc Trial Agreement 060107 signed
Delivery Following the execution of this Agreement Company will deliver the products and or software listed in Exhibit A hereto the Test System to the location specified in Exhibit A or such other location s as may be mutually agreed in writing by the parties,Delivery,2,Telmap Trial Agr executed (original)
Delivery Following the execution of this Agreement Company will deliver the products and or software listed in Exhibit A the Client Software to a location specified by Ericsson or such other location s as may be mutually agreed in writing by the parties ,Delivery,2,Teleca USA Inc Trial Agreement 060107
Delivery Following the execution of this Agreement Tellabs will deliver the Tellabs 8840 Multi Service Router described in Exhibit A hereto the MSN to the Ericsson location specified above or such other location s as may be mutually agreed in writing by the parties,Delivery,2,Tellabs N.A. Trial Agmt. 031708 (signed)
Delivery Following the execution of this Agreement Company will deliver the products and or software listed in Exhibit A hereto the Test System to the location specified in Exhibit A or such other location s as may be mutually agreed in writing by the parties,Delivery,2,Telmap Trial Agreement executed (scanned)
Delivery Following the execution of this Agreement Company will deliver the software listed in Exhibit A hereto the Test System to a location specified by Ericsson or such other location s as may be mutually agreed in writing by the parties,Delivery,2,Think Analytics- Trial Agreement effective (8-4-15)
Delivery Following the execution of this Agreement Company will deliver the products and or software listed in Exhibit A hereto the Test System to a location specified by Ericsson or such other location s as may be mutually agreed in writing by the parties,Delivery,2,Tive Inc._Trial Agreement_(19928) (Eff.  09.28.18)
Delivery Following the execution of this Agreement Company will deliver the products and or software listed in Exhibit A hereto the Test System to a location specified by Ericsson or such other location s as may be mutually agreed in writing by the parties,Delivery,2,TNSS Global LLC - TA - (Eff. 01-10-2017)
Delivery Following the execution of this Agreement Company will deliver the products and or software listed in Exhibit A hereto the Test System to a location specified by Ericsson or such other location s as may be mutually agreed in writing by the parties,Delivery,2,Trifacta Inc._Trial Agreement (Rev B)_(19427) (Eff. 07.10.18)
"Trial Following the delivery and installation of a Test System in accordance with the specifications to be mutually agreed in writting by the parties, Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating the Test System for use with Ericsson s and or Ericsson s customers networks",Trial,3,18-5789 ( REv B) Ericsson Trifacta Trial Agreement 6.28.18 FINAL
Trial Following the delivery and installation of a Backhaul Solution test system the Test System in accordance with the product specifications indicated in the Company s user manual as well as additional specifications to be mutually agreed in writing by the parties Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating the Test System for future use with Ericsson s and or Ericsson s customers networks,Trial,3,Radwin Trial Agreement (signed) 9-26-12
Trial Following the delivery and installation of a Test System in accordance with the specifications to be mutually agreed in writing by the parties Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating the Test System for use with Ericsson s and or Ericsson s customers supply chain networks,Trial,3,Roambee Corporation_Paid Trial Agreement_(21126) (Eff. 06.14.19)
Trial Following the delivery and installation of a Test System in accordance with the specifications to be mutually agreed in writing by the parties Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating the Test System for use with Ericsson s and or Ericsson s customers supply chain networks,Trial,3,Roambee Corporation_Paid Trial Agreement_(22084) (Eff. 01.22.20)
Trial Following the delivery and installation of a Test System in accordance with the specifications to be mutually agreed in writing by the parties Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating the Test System for use with Ericsson s and or Ericsson s customers networks Trial,Trial,3,Tatara Systems Trial Agmt. 110609 (signed)
Trial Following the delivery and installation of a Test System in accordance with the specifications to be mutually agreed in writing by the parties Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating the Test System for use with Ericsson s and or Ericsson s customers networks,Trial,3,"Tektronix Trial Agreement (fully executed), effective 4-29-11"
Trial Following the delivery and installation of the software to Ericsson in accordance with the specifications to be mutually agreed in writing by the parties Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating Company s software for use with Ericsson s and or Ericsson s customers network,Trial,3,Teleca USA Inc Trial Agreement 060107 signed
Trial Following the delivery and installation of a Test System in accordance with the specifications to be mutually agreed in writing by the parties Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating the Test System for use with Ericsson s and or Ericsson s customers networks,Trial,3,Telmap Trial Agr executed (original)
Trial Following the delivery and installation of the software to Ericsson in accordance with the Specifications to be mutually agreed in writing by the parties Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating Company s software for use with Ericsson s and or Ericsson s customers network,Trial,3,Teleca USA Inc Trial Agreement 060107
Trial Following the delivery and installation of the MSN in accordance with the specifications to be mutually agreed in writing by the parties Ericsson with Tellabs reasonable assistance wilt conducts trial and testing of the MSN for the purposes of i determining the interoperability of the MSN and Ericsson s equipment for their proper operation in AT T s networks and ii troubleshooting for issues relating to the MSN and Ericsson s equipment for thelr proper operation in AT T s networks The parties will mutually agree in advance in writing on the scope and content of the trial and testing From time to time during the term of this Agreement each party will work with the other party in good faith to provide the other party with such support for the tasting of the MSN contemplated hereby as may be reasonably requested by the other party and mutually agreed by both parties Except as may be otherwise mutually agreed in writing each party will bear its own costs and expenses in its performance of this Agreement Ericsson will be responsible for all the hardware software and other resources required for the trial and testing of the MSN under this Agreement Ericsson will notify Tellabs in advance of when each trial or testing session will take place and provide Tellabs with the opportunity to attend such trial testing either on site or telephonically Ericsson will provide Tellabs with regular prompt written notice of the trial test results including in particular any problems discovered 5 Iellabs Obligations In addition to the provision of the MSN Tellabs will make installation and support engineers available to Ericsson for installation and support of the MSN at no charge 6 se S GH During the 1 term of bile Agreement Ericesor he use the MSN only for internal testing 17 litle MSN shall be and remain the personal property of Tellabs Except for the right to use the MSN as set forth in Section 3 and 6 above all right title and interest in and to the MSN shall be retained by Tellabs Ericsson shall keep the MSN at all times free and clear from all claims levies liens process security interest and encumbrances Ericsson shall not alter or modify the MSN without,Trial,3,Tellabs N.A. Trial Agmt. 031708 (signed)
Trial Following the delivery and installation of a Test System in accordance with the specifications to be mutually agreed in writing by the parties Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating the Test System for use with Ericsson s and or Ericsson s customers networks,Trial,3,Telmap Trial Agreement executed (scanned)
Trial Following the delivery and installation of a Test System in accordance with the specifications to be mutually agreed in writing by the parties Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating the Test System for use with Ericsson s and or Ericsson s customers networks,Trial,3,Think Analytics- Trial Agreement effective (8-4-15)
Trial Following the delivery and installation of a Test System in accordance with the specifications to be mutually agreed in writing by the parties Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating the Test System for use with Ericsson s and or Ericsson s customers networks,Trial,3,Tive Inc._Trial Agreement_(19928) (Eff.  09.28.18)
Trial Following the delivery and installation of a Test System in accordance with the specifications to be mutually agreed in writing by the parties Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating the Test System for use with Ericsson s and or Ericsson s customers networks,Trial,3,TNSS Global LLC - TA - (Eff. 01-10-2017)
Trial Following the delivery and installation of a Test System in accordance with the specifications to be mutually agreed in writing by the parties Ericsson will conduct trials and demonstrations with the purpose of testing and evaluating the Test System for use with Ericsson s and or Ericsson s customers networks,Trial,3,Trifacta Inc._Trial Agreement (Rev B)_(19427) (Eff. 07.10.18)
Trial The parties agree that Equipment may be utilized by the parties at various locations for testing evaluation and demonstration purposes with the prior mutual agreement of the parties From time to time during the term of this Agreement each party will work with the other party good faith to provide the other party with such support for the testing of the Equipment contemplated hereby as may be reasonably requested by the other party and mutually agreed by both parties Without limiting the foregoing the parties will work together in good faith to address any issue identified by the parties relating to the Equipment In addition the parties will jointly implement an action register AR to report and manage the issues arising out of the parties respective Equipment Significant AR issues impacting AT T labs or field systems will be jointly forwarded by the parties to AT T for advice and resolution Except as may be otherwise mutually agreed in writing each party will bear its own costs and expenses in its performance of this Agreement,Trial,3,Created
Ericsson Obligations If applicable except for the Test System and engineering support provided by Company Ericsson will be responsible for all the hardware software and other resources required for the trial of the Test System under this Agreement,Ericsson_Obligations,4,18-5789 ( REv B) Ericsson Trifacta Trial Agreement 6.28.18 FINAL
Ericsson Obligations If applicable except for the Test System and engineering support provided by Company Ericsson will be responsible for all the hardware software and other resources required for the trial of the Test System under this Agreement,Ericsson_Obligations,4,Radwin Trial Agreement (signed) 9-26-12
Ericsson Obligations If applicable except for the Test System and engineering support provided by Company Ericsson will be responsible for all the hardware software and other resources required for the trial of the Test System under this Agreement,Ericsson_Obligations,4,Roambee Corporation_Paid Trial Agreement_(21126) (Eff. 06.14.19)
Ericsson Obligations If applicable except for the Test System and engineering support provided by Company Ericsson will be responsible for all the hardware software and other resources required for the trial of the Test System under this Agreement,Ericsson_Obligations,4,Roambee Corporation_Paid Trial Agreement_(22084) (Eff. 01.22.20)
Ericsson Obligations If applicable except for the Test System and engineering support provided by Company Ericsson will be responsible for all the hardware software and other resources required for the trial of the Test System under this Agreement,Ericsson_Obligations,4,Tatara Systems Trial Agmt. 110609 (signed)
Ericsson Obligations If applicable except for the Test System and engineering support provided by Company Ericsson will be responsible for all the hardware software and other resources required for the trial of the Test System under this Agreement,Ericsson_Obligations,4,"Tektronix Trial Agreement (fully executed), effective 4-29-11"
Ericsson Obligations If applicable except for the software and engineering support provided by Company Ericsson will be responsible for all the hardware software and other resources required for the trial of the software under this Agreement,Ericsson_Obligations,4,Teleca USA Inc Trial Agreement 060107 signed
Ericsson Obligations If applicable except for the Test System and engineering support provided by Company in accordance with the terms hereunder Ericsson will be responsible for all the hardware software and other resources required for the trial of the Test System under this Agreement,Ericsson_Obligations,4,Telmap Trial Agr executed (original)
Ericsson Obligations If applicable except for the software and engineering support provided by Company Ericsson will be responsible for all the hardware software and other resources required for the trial of the software under this Agreement,Ericsson_Obligations,4,Teleca USA Inc Trial Agreement 060107
Ericsson Obligations If applicable except for the MSN and engineering support provided by Tellabs Ericsson will be responsible for all the hardware software and other resources required for the trial and testing of the MSN under this Agreement Ericsson will notify Tellabs in advance of when each trial or testing session will take place and provide Tellabs with the opportunity to attend such trial testing either on site or telephonically Ericsson will provide Tellabs with regular prompt written notice of the trial test results including in particular any problems discovered,Ericsson_Obligations,4,Tellabs N.A. Trial Agmt. 031708 (signed)
Ericsson Obligations If applicable except for the Test System and engineering support provided by Company in accordance with the terms hereunder Ericsson will be responsible for all the hardware software and other resources required for the trial of the Test System under this Agreement,Ericsson_Obligations,4,Telmap Trial Agreement executed (scanned)
Ericsson Obligations If applicable except for the Test System and engineering support provided by Company Ericsson will be responsible for all the hardware software and other resources required for the trial of the Test System under this Agreement,Ericsson_Obligations,4,Think Analytics- Trial Agreement effective (8-4-15)
Ericsson Obligations If applicable except for the Test System and engineering support provided by Company Ericsson will be responsible for all the hardware software and other resources required for the trial of the Test System under this Agreement,Ericsson_Obligations,4,Tive Inc._Trial Agreement_(19928) (Eff.  09.28.18)
Ericsson Obligations If applicable except for the Test System and engineering support provided by Company Ericsson will be responsible for all the hardware software and other resources required for the trial of the Test System under this Agreement,Ericsson_Obligations,4,TNSS Global LLC - TA - (Eff. 01-10-2017)
Ericsson Obligations If applicable except for the Test System and engineering support provided by Company Ericsson will be responsible for all the hardware software and other resources required for the trial of the Test System under this Agreement,Ericsson_Obligations,4,Trifacta Inc._Trial Agreement (Rev B)_(19427) (Eff. 07.10.18)
Company Obligations In addition to the provision of the Test System Company will make installation and support engineers available to Ericsson for installation and support of the Test System at no charge,Company_Obligations,5,18-5789 ( REv B) Ericsson Trifacta Trial Agreement 6.28.18 FINAL
Company Obligations In addition to the provision of the Test System Company will make support engineers available to Ericsson for installation and support of the Test System terms to be mutually agreed to by the parties,Company_Obligations,5,Radwin Trial Agreement (signed) 9-26-12
Company Obligations In addition to the provision of the Test System Company at its own discretion will make installation and support engineers available to Ericsson for installation and support of the Test System at no charge,Company_Obligations,5,Roambee Corporation_Paid Trial Agreement_(21126) (Eff. 06.14.19)
Company Obligations In addition to the provision of the Test System Company at its own discretion will make installation and support engineers available to Ericsson for installation and support of the Test System at no charge,Company_Obligations,5,Roambee Corporation_Paid Trial Agreement_(22084) (Eff. 01.22.20)
Company Obligations In addition to the provision of the Test System Company will make installation and support engineers available to Ericsson for installation and support of the Test System at no charge,Company_Obligations,5,Tatara Systems Trial Agmt. 110609 (signed)
Company Obligations In addition to the provision of the Test System Company will make installation and support engineers available to Ericsson for installation and support of the Test System at no charge,Company_Obligations,5,"Tektronix Trial Agreement (fully executed), effective 4-29-11"
Company Obligations in addition to the provision of the software Company will provide the services as defined in Exhibit B Scope of Work SOW and support the software for a minimum period of fifteen 15 weeks After Development Acceptance as defined in the SOW Ericsson agrees to pay Company a sum of 110 per hour for such engineering support when authorized per Ericsson Program Manager or delegated authority together with any materials expenses and out of pocket travel and travel related expenses reasonably incurred by Company in connection with such engineering support in accordance with Ericsson s Travel policy and only if approved in advance by Ericsson,Company_Obligations,5,Teleca USA Inc Trial Agreement 060107 signed
Company Obligations In addition to the provision of the Test System Company will make installation and support engineers available to Ericsson for installation and support of the Test System at no charge but subject to the following i Company shall provide a staff of no more than 2 persons for a duration of no more than 2 days for the initial installation of the Test System ii Other than support by telephone e mail Company is under no obligation to provide any additional on site support and any such additional on site support shall be provided subject to Company s sole discretion and the parties agreement with regard to bearing the expense involved Company will ensure that Company employees contractors subcontractors or agents will not enter any Ericsson property or location If invited by Ericsson to an Ericsson property or location Company will decline and propose an alternative non Ericsson property or location,Company_Obligations,5,Telmap Trial Agr executed (original)
Company Obligations In addition to the provision of the software Company will provide the services as defined in Exhibit B Scope of Work SOW and support the software for a minimum period of fifteen 15 weeks After Development Acceptance as defined in the SOW Ericsson agrees to pay Company a sum of 110 per hour for such engineering support when authorized per Ericsson Program Manager or delegated authority together with any materials expenses and out of pocket travel and travel related expenses reasonably incurred by Company in connection with such engineering Support in accordance with Ericsson s Travel policy and only if approved in advance by Ericsson,Company_Obligations,5,Teleca USA Inc Trial Agreement 060107
Company Obligations In addition to the provision of the Test System Company will make installation and support engineers available to Ericsson for installation and support of the Test System at no charge but subject to the following i Company shall provide a staff of no more than 2 persons for a duration of no more than 2 days for the initial installation of the Test System ii Other than support by telephone e mail Company is under no obligation to provide any additional on site support and any such additional on site support shall be provided subject to Company s sole discretion and the parties agreement with regard to bearing the expense involved Company will ensure that Company employees contractors subcontractors or agents will not enter any Ericsson property or location If invited by Ericsson to an Ericsson property or location Company will decline and propose an alternative non Ericsson property or location,Company_Obligations,5,Telmap Trial Agreement executed (scanned)
Company Obligations In addition to the provision of the Test System Company will make installation and support engineers available to Ericsson for installation and support of the Test System at no charge,Company_Obligations,5,Think Analytics- Trial Agreement effective (8-4-15)
Company Obligations In addition to the provision of the Test System Company will make installation and support engineers available to Ericsson for installation and support of the Test System at no charge,Company_Obligations,5,Tive Inc._Trial Agreement_(19928) (Eff.  09.28.18)
Company Obligations In addition to the provision of the Test System Company will make installation and support engineers available to Ericsson for installation and support of the Test System at no charge,Company_Obligations,5,TNSS Global LLC - TA - (Eff. 01-10-2017)
Company Obligations In addition to the provision of the Test System Company will make installation and support engineers available to Ericsson for installation and support of the Test System at no charge,Company_Obligations,5,Trifacta Inc._Trial Agreement (Rev B)_(19427) (Eff. 07.10.18)
